/* mcf-gen2.dat */

param p := 1 ;
param q := 6 ;
param N := 6 ;
param TRAFFIC := 180 ;

param : E : capa :=
1 1 0
1 2 25
1 3 100
1 4 70
1 5 0
1 6 0
2 1 0
2 2 0
2 3 30
2 4 0
2 5 15
2 6 0
3 1 0
3 2 0
3 3 0
3 4 0
3 5 0
3 6 200
4 1 0
4 2 0
4 3 60
4 4 0
4 5 0
4 6 30
5 1 0
5 2 0
5 3 0
5 4 0
5 5 0
5 6 150
6 1 0
6 2 0
6 3 0
6 4 0
6 5 0
6 6 0
;
param : EM : cost :=
1 1 100000
1 2 3
1 3 5
1 4 9
1 5 100000
1 6 100000
2 1 100000
2 2 100000
2 3 4
2 4 100000
2 5 4
2 6 100000
3 1 100000
3 2 100000
3 3 100000
3 4 100000
3 5 100000
3 6 10
4 1 100000
4 2 100000
4 3 6
4 4 100000
4 5 100000
4 6 14
5 1 100000
5 2 100000
5 3 100000
5 4 100000
5 5 100000
5 6 6
6 1 100000
6 2 100000
6 3 100000
6 4 100000
6 5 100000
6 6 100000
;
end;
