/* djp-s-gen1.dat */

param K := 2 ;
param N := 7 ;
param p := 1 ;
param q := 7 ;
param G := 1 ;

param : E : cost :=
1 1 100000
1 2 1
1 3 100000
1 4 1.5
1 5 100000
1 6 100000
1 7 100000
2 1 100000
2 2 100000
2 3 1
2 4 100000
2 5 100000
2 6 1
2 7 100000
3 1 100000
3 2 100000
3 3 100000
3 4 100000
3 5 100000
3 6 100000
3 7 1
4 1 100000
4 2 100000
4 3 100000
4 4 100000
4 5 1
4 6 100000
4 7 100000
5 1 100000
5 2 100000
5 3 100000
5 4 100000
5 5 100000
5 6 100000
5 7 1
6 1 100000
6 2 100000
6 3 100000
6 4 100000
6 5 100000
6 6 100000
6 7 1.5
7 1 100000
7 2 100000
7 3 100000
7 4 100000
7 5 100000
7 6 100000
7 7 100000
;
param : ER : S :=
1 1 1 0
1 2 1 0
1 3 1 0
1 4 1 0
1 5 1 0
1 6 1 0
1 7 1 0
2 1 1 0
2 2 1 0
2 3 1 0
2 4 1 0
2 5 1 0
2 6 1 0
2 7 1 0
3 1 1 0
3 2 1 0
3 3 1 0
3 4 1 0
3 5 1 0
3 6 1 0
3 7 1 1
4 1 1 0
4 2 1 0
4 3 1 0
4 4 1 0
4 5 1 0
4 6 1 0
4 7 1 0
5 1 1 0
5 2 1 0
5 3 1 0
5 4 1 0
5 5 1 0
5 6 1 0
5 7 1 1
6 1 1 0
6 2 1 0
6 3 1 0
6 4 1 0
6 5 1 0
6 6 1 0
6 7 1 0
7 1 1 0
7 2 1 0
7 3 1 0
7 4 1 0
7 5 1 0
7 6 1 0
7 7 1 0
;
end;
